Column1,preyID,preyPhylum,preyClass,preyOrder,preyFamily,preyGenus,preyspecies
Amphisbaenia,Amphisbaenia,Chordata,Reptilia,Squamata,NA,NA,NA
Zhangixalus schlegelii,Zhangixalus schlegelii,Chordata,Amphibia,Anura,Rhacophoridae,Zhangixalus,Zhangixalus schlegelii
Tracheloptychus madagascariensis,Tracheloptychus madagascariensis,Chordata,Reptilia,Squamata,Gerrhosauridae,Tracheloptychus,Tracheloptychus madagascariensis
Cardinalis cardinalis,Cardinalis cardinalis,Chordata,Aves,Passeriformes,Cardinalidae,Cardinalis,Cardinalis cardinalis
Attila spadiceus,Attila spadiceus,Chordata,Aves,Passeriformes,Tyrannidae,Attila,Attila spadiceus
Pelodryadidae,Pelodryadidae,Chordata,Amphibia,Anura,Pelodryadidae,NA,NA
Phyllomedusa venusta,Phyllomedusa venusta,Chordata,Amphibia,Anura,Phyllomedusidae,Phyllomedusa,Phyllomedusa venusta
Furcifer pardalis,Furcifer pardalis,Chordata,Reptilia,Squamata,Chamaeleonidae,Furcifer,Furcifer pardalis
Bitis arietans,Bitis arietans,Chordata,Reptilia,Squamata,Viperidae,Bitis,Bitis arietans
Sciurus carolinensis,Sciurus carolinensis,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus carolinensis
Teiidae,Teiidae,Chordata,Reptilia,Squamata,Teiidae,NA,NA
Chiromantis xerampelina,Chiromantis xerampelina,Chordata,Amphibia,Anura,Rhacophoridae,Chiromantis,Chiromantis xerampelina
Pavo cristatus,Pavo cristatus,Chordata,Aves,Galliformes,Phasianidae,Pavo,Pavo cristatus
Trachylepis,Trachylepis,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,NA
Mammalia,Mammalia,Chordata,Mammalia,NA,NA,NA,NA
Thamnophis proximus,Thamnophis proximus,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis proximus
Nucras lalandii,Nucras lalandii,Chordata,Reptilia,Squamata,Lacertidae,Nucras,Nucras lalandii
Ptychadena anchietae,Ptychadena anchietae,Chordata,Amphibia,Anura,Ptychadenidae,Ptychadena,Ptychadena anchietae
Trachylepis varia,Trachylepis varia,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis varia
Nucras tessellata,Nucras tessellata,Chordata,Reptilia,Squamata,Lacertidae,Nucras,Nucras tessellata
Strongylopus grayii,Strongylopus grayii,Chordata,Amphibia,Anura,Pyxicephalidae,Strongylopus,Strongylopus grayii
Smaug breyeri,Smaug breyeri,Chordata,Reptilia,Squamata,Cordylidae,Smaug,Smaug breyeri
Acanthocercus atricollis,Acanthocercus atricollis,Chordata,Reptilia,Squamata,Agamidae,Acanthocercus,Acanthocercus atricollis
Rhabdomys pumilio,Rhabdomys pumilio,Chordata,Mammalia,Rodentia,Muridae,Rhabdomys,Rhabdomys pumilio
Aepyceros melampus,Aepyceros melampus,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus
Cornu aspersum,Cornu aspersum,Mollusca,Gastropoda,Stylommatophora,Helicidae,Cornu,Cornu aspersum
Vandijkophrynus gariepensis,Vandijkophrynus gariepensis,Chordata,Amphibia,Anura,Bufonidae,Vandijkophrynus,Vandijkophrynus gariepensis
Bradypodion setaroi,Bradypodion setaroi,Chordata,Reptilia,Squamata,Chamaeleonidae,Bradypodion,Bradypodion setaroi
Amietia fuscigula,Amietia fuscigula,Chordata,Amphibia,Anura,Pyxicephalidae,Amietia,Amietia fuscigula
Passer diffusus stygiceps,Passer diffusus stygiceps,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer diffusus
Agama atra,Agama atra,Chordata,Reptilia,Squamata,Agamidae,Agama,Agama atra
Anolis carolinensis,Anolis carolinensis,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis carolinensis
Sclerophrys capensis,Sclerophrys capensis,Chordata,Amphibia,Anura,Bufonidae,Sclerophrys,Sclerophrys capensis
Macrelaps microlepidotus,Macrelaps microlepidotus,Chordata,Reptilia,Squamata,Lamprophiidae,Macrelaps,Macrelaps microlepidotus
Xenopus laevis,Xenopus laevis,Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis
Trachylepis capensis,Trachylepis capensis,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis capensis
Crotalus atrox,Crotalus atrox,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus atrox
Boophis,Boophis,Chordata,Amphibia,Anura,Mantellidae,Boophis,NA
Leptodactylus luctator,Leptodactylus luctator,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,Leptodactylus luctator
Gyrinophilus porphyriticus,Gyrinophilus porphyriticus,Chordata,Amphibia,Caudata,Plethodontidae,Gyrinophilus,Gyrinophilus porphyriticus
Pristimantis w-nigrum,Pristimantis w-nigrum,Chordata,Amphibia,Anura,Craugastoridae,Pristimantis,Pristimantis w-nigrum
Tropidurus hispidus,Tropidurus hispidus,Chordata,Reptilia,Squamata,Tropiduridae,Tropidurus,Tropidurus hispidus
Thamnophis radix,Thamnophis radix,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis radix
Sceloporus occidentalis longipes,Sceloporus occidentalis longipes,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus occidentalis
Talpa,Talpa,Chordata,Mammalia,Soricomorpha,Talpidae,Talpa,NA
Mimus polyglottos,Mimus polyglottos,Chordata,Aves,Passeriformes,Mimidae,Mimus,Mimus polyglottos
Piranga ludoviciana,Piranga ludoviciana,Chordata,Aves,Passeriformes,Cardinalidae,Piranga,Piranga ludoviciana
Bufo formosus,Bufo formosus,Chordata,Amphibia,Anura,Bufonidae,Bufo,Bufo formosus
Sclerophrys,Sclerophrys,Chordata,Amphibia,Anura,Bufonidae,Sclerophrys,NA
Centrarchidae,Centrarchidae,Chordata,Actinopterygii,Perciformes,Centrarchidae,NA,NA
Rhinella icterica,Rhinella icterica,Chordata,Amphibia,Anura,Bufonidae,Rhinella,Rhinella icterica
Ophisaurus,Ophisaurus,Chordata,Reptilia,Squamata,Anguidae,Ophisaurus,NA
Leporidae,Leporidae,Chordata,Mammalia,Lagomorpha,Leporidae,NA,NA
Buergeria robusta,Buergeria robusta,Chordata,Amphibia,Anura,Rhacophoridae,Buergeria,Buergeria robusta
Arion,Arion,Mollusca,Gastropoda,Stylommatophora,Arionidae,Arion,NA
Bufo sachalinensis,Bufo sachalinensis,Chordata,Amphibia,Anura,Bufonidae,Bufo,Bufo sachalinensis
Neotoma fuscipes,Neotoma fuscipes,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma fuscipes
Chondrodactylus bibronii,Chondrodactylus bibronii,Chordata,Reptilia,Squamata,Gekkonidae,Chondrodactylus,Chondrodactylus bibronii
Cophosaurus texanus,Cophosaurus texanus,Chordata,Reptilia,Squamata,Phrynosomatidae,Cophosaurus,Cophosaurus texanus
Tettigoniidae,Tettigoniidae,Arthropoda,Insecta,Orthoptera,Tettigoniidae,NA,NA
Amynthas,Amynthas,Annelida,Clitellata,Opisthopora,Megascolecidae,Amynthas,NA
Thamnophis sirtalis sirtalis,Thamnophis sirtalis sirtalis,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis sirtalis
Haemorhous mexicanus,Haemorhous mexicanus,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,Haemorhous mexicanus
Boana raniceps,Boana raniceps,Chordata,Amphibia,Anura,Hylidae,Boana,Boana raniceps
Glis glis,Glis glis,Chordata,Mammalia,Rodentia,Gliridae,Glis,Glis glis
Virginia,Virginia,Chordata,Reptilia,Squamata,Colubridae,Virginia,NA
Incilius,Incilius,Chordata,Amphibia,Anura,Bufonidae,Incilius,NA
Anguis veronensis,Anguis veronensis,Chordata,Reptilia,Squamata,Anguidae,Anguis,Anguis veronensis
Amphiuma means,Amphiuma means,Chordata,Amphibia,Caudata,Amphiumidae,Amphiuma,Amphiuma means
Plestiodon skiltonianus,Plestiodon skiltonianus,Chordata,Reptilia,Squamata,Scincidae,Plestiodon,Plestiodon skiltonianus
Incilius valliceps,Incilius valliceps,Chordata,Amphibia,Anura,Bufonidae,Incilius,Incilius valliceps
Rana cascadae,Rana cascadae,Chordata,Amphibia,Anura,Ranidae,Rana,Rana cascadae
Fejervarya cancrivora,Fejervarya cancrivora,Chordata,Amphibia,Anura,Dicroglossidae,Fejervarya,Fejervarya cancrivora
Chaetodipus,Chaetodipus,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,NA
Neotoma,Neotoma,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,NA
Gekko chinensis,Gekko chinensis,Chordata,Reptilia,Squamata,Gekkonidae,Gekko,Gekko chinensis
Limnonectes malesianus,Limnonectes malesianus,Chordata,Amphibia,Anura,Dicroglossidae,Limnonectes,Limnonectes malesianus
Haemorhous purpureus,Haemorhous purpureus,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,Haemorhous purpureus
Sigmodon hispidus,Sigmodon hispidus,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,Sigmodon hispidus
Elgaria coerulea,Elgaria coerulea,Chordata,Reptilia,Squamata,Anguidae,Elgaria,Elgaria coerulea
Todirostrum cinereum,Todirostrum cinereum,Chordata,Aves,Passeriformes,Tyrannidae,Todirostrum,Todirostrum cinereum
Oplurus cuvieri,Oplurus cuvieri,Chordata,Reptilia,Squamata,Opluridae,Oplurus,Oplurus cuvieri
Tropidolaemus subannulatus,Tropidolaemus subannulatus,Chordata,Reptilia,Squamata,Viperidae,Tropidolaemus,Tropidolaemus subannulatus
Breviceps gibbosus,Breviceps gibbosus,Chordata,Amphibia,Anura,Brevicipitidae,Breviceps,Breviceps gibbosus
Sphenomorphus,Sphenomorphus,Chordata,Reptilia,Squamata,Scincidae,Sphenomorphus,NA
Amphiuma tridactylum,Amphiuma tridactylum,Chordata,Amphibia,Caudata,Amphiumidae,Amphiuma,Amphiuma tridactylum
Plestiodon kishinouyei,Plestiodon kishinouyei,Chordata,Reptilia,Squamata,Scincidae,Plestiodon,Plestiodon kishinouyei
Boana semilineata,Boana semilineata,Chordata,Amphibia,Anura,Hylidae,Boana,Boana semilineata
Spilotes pullatus,Spilotes pullatus,Chordata,Reptilia,Squamata,Colubridae,Spilotes,Spilotes pullatus
Hoplobatrachus chinensis,Hoplobatrachus chinensis,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,Hoplobatrachus chinensis
Rhinocheilus,Rhinocheilus,Chordata,Reptilia,Squamata,Colubridae,Rhinocheilus,NA
Trachylepis perrotetii,Trachylepis perrotetii,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis perrotetii
Dicroglossinae,Dicroglossinae,Chordata,Amphibia,Anura,Dicroglossidae,NA,NA
Aspidoscelis gularis,Aspidoscelis gularis,Chordata,Reptilia,Squamata,Teiidae,Aspidoscelis,Aspidoscelis gularis
Rana coreana,Rana coreana,Chordata,Amphibia,Anura,Ranidae,Rana,Rana coreana
Ctenosaura similis,Ctenosaura similis,Chordata,Reptilia,Squamata,Iguanidae,Ctenosaura,Ctenosaura similis
Rhinella horribilis,Rhinella horribilis,Chordata,Amphibia,Anura,Bufonidae,Rhinella,Rhinella horribilis
Amietia delalandii,Amietia delalandii,Chordata,Amphibia,Anura,Pyxicephalidae,Amietia,Amietia delalandii
Turdus grayi,Turdus grayi,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus grayi
Craugastor,Craugastor,Chordata,Amphibia,Anura,Craugastoridae,Craugastor,NA
Heleophryne purcelli,Heleophryne purcelli,Chordata,Amphibia,Anura,Heleophrynidae,Heleophryne,Heleophryne purcelli
Trachylepis striata,Trachylepis striata,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis striata
Kobus kob,Kobus kob,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus,Kobus kob
Anguis fragilis,Anguis fragilis,Chordata,Reptilia,Squamata,Anguidae,Anguis,Anguis fragilis
Rhinella,Rhinella,Chordata,Amphibia,Anura,Bufonidae,Rhinella,NA
Coryphistera alaudina,Coryphistera alaudina,Chordata,Aves,Passeriformes,Furnariidae,Coryphistera,Coryphistera alaudina
Duellmanohyla salvadorensis,Duellmanohyla salvadorensis,Chordata,Amphibia,Anura,Hylidae,Duellmanohyla,Duellmanohyla salvadorensis
Psammodynastes pulverulentus pulverulentus,Psammodynastes pulverulentus pulverulentus,Chordata,Reptilia,Squamata,Lamprophiidae,Psammodynastes,Psammodynastes pulverulentus
Thylogale,Thylogale,Chordata,Mammalia,Diprotodontia,Macropodidae,Thylogale,NA
Cordylus niger,Cordylus niger,Chordata,Reptilia,Squamata,Cordylidae,Cordylus,Cordylus niger
Pantherophis emoryi,Pantherophis emoryi,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,Pantherophis emoryi
Tenuidactylus caspius,Tenuidactylus caspius,Chordata,Reptilia,Squamata,Gekkonidae,Tenuidactylus,Tenuidactylus caspius
Picidae,Picidae,Chordata,Aves,Piciformes,Picidae,NA,NA
Serpentes,Serpentes,Chordata,Reptilia,Squamata,NA,NA,NA
Polypedates leucomystax,Polypedates leucomystax,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates leucomystax
Aspidoscelis sexlineatus,Aspidoscelis sexlineatus,Chordata,Reptilia,Squamata,Teiidae,Aspidoscelis,Aspidoscelis sexlineatus
Daboia russelii,Daboia russelii,Chordata,Reptilia,Squamata,Viperidae,Daboia,Daboia russelii
Trimorphodon lambda,Trimorphodon lambda,Chordata,Reptilia,Squamata,Colubridae,Trimorphodon,Trimorphodon lambda
Lampropeltis getula,Lampropeltis getula,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis getula
Hemidactylus greeffii,Hemidactylus greeffii,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus greeffii
Dorosoma,Dorosoma,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Dorosoma,NA
Rana aurora,Rana aurora,Chordata,Amphibia,Anura,Ranidae,Rana,Rana aurora
Ambystoma maculatum,Ambystoma maculatum,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma maculatum
Philantomba monticola,Philantomba monticola,Chordata,Mammalia,Artiodactyla,Bovidae,Philantomba,Philantomba monticola
Duttaphrynus,Duttaphrynus,Chordata,Amphibia,Anura,Bufonidae,Duttaphrynus,NA
Acontias meleagris,Acontias meleagris,Chordata,Reptilia,Squamata,Scincidae,Acontias,Acontias meleagris
Pteropodidae,Pteropodidae,Chordata,Mammalia,Chiroptera,Pteropodidae,NA,NA
Hyla cinerea,Hyla cinerea,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla cinerea
Opsariichthys evolans,Opsariichthys evolans,Chordata,Actinopterygii,Cypriniformes,Xenocyprididae,Ospariichthys,NA
Neogobius,Neogobius,Chordata,Actinopterygii,Perciformes,Gobiidae,Neogobius,NA
Boana prasina,Boana prasina,Chordata,Amphibia,Anura,Hylidae,Boana,Boana prasina
Calotes versicolor,Calotes versicolor,Chordata,Reptilia,Squamata,Agamidae,Calotes,Calotes versicolor
Rana arvalis,Rana arvalis,Chordata,Amphibia,Anura,Ranidae,Rana,Rana arvalis
Centrarchus macropterus,Centrarchus macropterus,Chordata,Actinopterygii,Perciformes,Centrarchidae,Centrarchus,Centrarchus macropterus
Ophiophagus hannah,Ophiophagus hannah,Chordata,Reptilia,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah
Lepus capensis,Lepus capensis,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus capensis
Cyprinidae,Cyprinidae,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA
Sciurus aureogaster,Sciurus aureogaster,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus aureogaster
Lacertidae,Lacertidae,Chordata,Reptilia,Squamata,Lacertidae,NA,NA
Lithobates areolatus,Lithobates areolatus,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates areolatus
Coluber constrictor mormon,Coluber constrictor mormon,Chordata,Reptilia,Squamata,Colubridae,Coluber,Coluber constrictor
Podarcis siculus,Podarcis siculus,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,Podarcis siculus
Leptodactylus,Leptodactylus,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,NA
Didelphinae,Didelphinae,Chordata,Mammalia,Didelphimorphia,Didelphidae,NA,NA
Bronchocela cristatella,Bronchocela cristatella,Chordata,Reptilia,Squamata,Agamidae,Bronchocela,Bronchocela cristatella
Hemidactylus flaviviridis,Hemidactylus flaviviridis,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus flaviviridis
Smilisca sordida,Smilisca sordida,Chordata,Amphibia,Anura,Hylidae,Smilisca,Smilisca sordida
Nerodia fasciata confluens,Nerodia fasciata confluens,Chordata,Reptilia,Squamata,Colubridae,Nerodia,Nerodia fasciata
Helicops leopardinus,Helicops leopardinus,Chordata,Reptilia,Squamata,Colubridae,Helicops,Helicops leopardinus
Alburnus alburnus,Alburnus alburnus,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnus,Alburnus alburnus
Callipepla gambelii,Callipepla gambelii,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,Callipepla gambelii
Gobiidae,Gobiidae,Chordata,Actinopterygii,Perciformes,Gobiidae,NA,NA
Zenaida asiatica,Zenaida asiatica,Chordata,Aves,Columbiformes,Columbidae,Zenaida,Zenaida asiatica
Natrix tessellata,Natrix tessellata,Chordata,Reptilia,Squamata,Colubridae,Natrix,Natrix tessellata
Pantherophis,Pantherophis,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,NA
Sauromalus ater,Sauromalus ater,Chordata,Reptilia,Squamata,Iguanidae,Sauromalus,Sauromalus ater
Hoplobatrachus tigerinus,Hoplobatrachus tigerinus,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,Hoplobatrachus tigerinus
Trichonephila clavipes,Trichonephila clavipes,Arthropoda,Euchelicerata,Araneae,Araneidae,Trichonephila,Trichonephila clavipes
Planorbarius corneus,Planorbarius corneus,Mollusca,Gastropoda,Hygrophila,Planorbidae,Planorbarius,Planorbarius corneus
Rhinella beebei,Rhinella beebei,Chordata,Amphibia,Anura,Bufonidae,Rhinella,Rhinella beebei
Indirana,Indirana,Chordata,Amphibia,Anura,Ranixalidae,Indirana,NA
Rana,Rana,Chordata,Amphibia,Anura,Ranidae,Rana,NA
Anaxyrus boreas halophilus,Anaxyrus boreas halophilus,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus boreas
Oryctolagus cuniculus,Oryctolagus cuniculus,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus
Oncorhynchus clarkii,Oncorhynchus clarkii,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii
Salamandra salamandra,Salamandra salamandra,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra salamandra
Anaxyrus punctatus,Anaxyrus punctatus,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus punctatus
Setophaga,Setophaga,Chordata,Aves,Passeriformes,Parulidae,Setophaga,NA
Crotalus pyrrhus,Crotalus pyrrhus,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus pyrrhus
Didelphis virginiana,Didelphis virginiana,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,Didelphis virginiana
Boa imperator,Boa imperator,Chordata,Reptilia,Squamata,Boidae,Boa,Boa imperator
Hyla versicolor,Hyla versicolor,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla versicolor
Trachylepis punctatissima,Trachylepis punctatissima,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis punctatissima
Natrix natrix,Natrix natrix,Chordata,Reptilia,Squamata,Colubridae,Natrix,Natrix natrix
Cottidae,Cottidae,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,NA,NA
Rhacophorus malabaricus,Rhacophorus malabaricus,Chordata,Amphibia,Anura,Rhacophoridae,Rhacophorus,Rhacophorus malabaricus
Peromyscus,Peromyscus,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,NA
Silurus glanis,Silurus glanis,Chordata,Actinopterygii,Siluriformes,Siluridae,Silurus,Silurus glanis
Eremiadinae,Eremiadinae,Chordata,Reptilia,Squamata,Lacertidae,NA,NA
Lacerta agilis,Lacerta agilis,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,Lacerta agilis
Danaus plexippus,Danaus plexippus,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus
Saproscincus rosei,Saproscincus rosei,Chordata,Reptilia,Squamata,Scincidae,Saproscincus,Saproscincus rosei
Cavioidea,Cavioidea,Chordata,Mammalia,Rodentia,NA,NA,NA
Scolopendra cingulata,Scolopendra cingulata,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Scolopendra,Scolopendra cingulata
Ploceus capensis,Ploceus capensis,Chordata,Aves,Passeriformes,Ploceidae,Ploceus,Ploceus capensis
Trachylepis wahlbergii,Trachylepis wahlbergii,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis wahlbergii
Sceloporus torquatus,Sceloporus torquatus,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus torquatus
Cnemidophorus arubensis,Cnemidophorus arubensis,Chordata,Reptilia,Squamata,Teiidae,Cnemidophorus,Cnemidophorus arubensis
Saccopteryx bilineata,Saccopteryx bilineata,Chordata,Mammalia,Chiroptera,Emballonuridae,Saccopteryx,Saccopteryx bilineata
Aspidoscelis deppii,Aspidoscelis deppii,Chordata,Reptilia,Squamata,Teiidae,Aspidoscelis,Aspidoscelis deppii
Dendropsophus microcephalus,Dendropsophus microcephalus,Chordata,Amphibia,Anura,Hylidae,Dendropsophus,Dendropsophus microcephalus
Sceloporus olivaceus,Sceloporus olivaceus,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus olivaceus
Coluber constrictor flaviventris,Coluber constrictor flaviventris,Chordata,Reptilia,Squamata,Colubridae,Coluber,Coluber constrictor
Rhinella marina,Rhinella marina,Chordata,Amphibia,Anura,Bufonidae,Rhinella,Rhinella marina
Panaspis wahlbergii,Panaspis wahlbergii,Chordata,Reptilia,Squamata,Scincidae,Panaspis,Panaspis wahlbergii
Crotaphopeltis hotamboeia,Crotaphopeltis hotamboeia,Chordata,Reptilia,Squamata,Colubridae,Crotaphopeltis,Crotaphopeltis hotamboeia
